"성별(1)","연령별(1)",총계,진입자,유지자,이동자,미등록자
"총계","총계",23379,3857,15648,3873,3404
"총계","15-29세",3921,1372,1688,860,973
"총계","30-39세",5085,630,3643,812,598
"총계","40-49세",5854,640,4340,873,604
"총계","50-59세",5220,617,3800,803,638
"총계","60세 이상",3299,597,2177,526,592
"남자","총계",13642,1908,9374,2359,1741
"남자","15-29세",2005,738,830,437,508
"남자","30-39세",3097,309,2250,537,288
"남자","40-49세",3466,284,2646,536,289
"남자","50-59세",3090,290,2294,506,323
"남자","60세 이상",1984,287,1354,343,333
"여자","총계",9737,1949,6273,1515,1663
"여자","15-29세",1916,634,858,423,466
"여자","30-39세",1988,321,1392,275,309
"여자","40-49세",2387,356,1694,337,315
"여자","50-59세",2130,327,1506,297,315
"여자","60세 이상",1316,310,823,183,259
