지역별(1),2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
지역별(1),퇴직인력,퇴직인력,퇴직인력,구인인력,구인인력,구인인력,구인인력,채용인력,채용인력,채용인력,채용인력,미충원인력,미충원인력,미충원인력,미충원인력,퇴직인력,퇴직인력,퇴직인력,구인인력,구인인력,구인인력,구인인력,채용인력,채용인력,채용인력,채용인력,미충원인력,미충원인력,미충원인력,미충원인력,퇴직인력,퇴직인력,퇴직인력,퇴직인력,구인인력,구인인력,구인인력,구인인력,채용인력,채용인력,채용인력,채용인력,미충원인력,미충원인력,미충원인력,미충원인력,퇴직인력,퇴직인력,퇴직인력,퇴직인력,구인인력,구인인력,구인인력,구인인력,채용인력,채용인력,채용인력,채용인력,미충원인력,미충원인력,미충원인력,미충원인력,퇴직인력,퇴직인력,퇴직인력,퇴직인력,구인인력,구인인력,구인인력,구인인력,채용인력,채용인력,채용인력,채용인력,미충원인력,미충원인력,미충원인력,미충원인력,퇴직인력,퇴직인력,퇴직인력,퇴직인력,구인인력,구인인력,구인인력,구인인력,채용인력,채용인력,채용인력,채용인력,미충원인력,미충원인력,미충원인력,미충원인력,퇴직인력,퇴직인력,퇴직인력,퇴직인력,구인인력,구인인력,구인인력,구인인력,채용인력,채용인력,채용인력,채용인력,미충원인력,미충원인력,미충원인력,미충원인력,퇴직인력,퇴직인력,퇴직인력,퇴직인력,구인인력,구인인력,구인인력,구인인력,채용인력,채용인력,채용인력,채용인력,미충원인력,미충원인력,미충원인력,미충원인력,퇴직인력,퇴직인력,퇴직인력,퇴직인력,구인인력,구인인력,구인인력,구인인력,채용인력,채용인력,채용인력,채용인력,미충원인력,미충원인력,미충원인력,미충원인력,퇴직인력,퇴직인력,퇴직인력,퇴직인력,구인인력,구인인력,구인인력,구인인력,채용인력,채용인력,채용인력,채용인력,미충원인력,미충원인력,미충원인력,미충원인력,퇴직인력,퇴직인력,퇴직인력,퇴직인력,구인인력,구인인력,구인인력,구인인력,채용인력,채용인력,채용인력,채용인력,미충원인력,미충원인력,미충원인력,미충원인력
지역별(1),소계,경력자,신입자,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,입사 경력자,신입자,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,입사 경력자,신입자,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,입사 경력자,신입자,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,입사 경력자,신입자,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,입사 경력자,신입자,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,입사 경력자,신입자,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,입사 경력자,신입자,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,입사 경력자,신입자,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,입사 경력자,신입자,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인,소계,경력자,신입자,외국인
계,"126,808","68,220","58,588","136,610","57,695","78,471",444,"130,500","51,229","78,662",609,"14,377","8,765","5,497",115,"133,022","78,325","54,697","142,563","66,156","75,972",434,"138,955","60,073","78,063",819,"14,076","9,441","4,562",74,"139,200","86,795","6,198","52,405","146,594","73,953","72,303",337,"142,095","65,321","76,402",372,"15,770","11,237","4,479",54,"148,035","97,586","9,707","50,449","149,593","75,213","73,922",457,"144,109","64,977","78,696",437,"16,315","11,961","4,262",93,"150,304","101,827","9,505","48,477","150,530","80,507","69,535",488,"144,735","71,388","72,840",506,"16,248","11,538","4,616",94,"151,447","102,935","10,021","48,513","151,908","81,803","69,559",545,"144,058","71,259","72,287",512,"14,468","10,741","3,591",136,"155,382","105,452","11,674","49,930","152,424","81,447","70,343",634,"145,944","72,630","72,829",485,"15,357","10,790","4,418",148,"156,594","108,547","12,017","48,048","145,336","78,845","65,973",518,"142,298","71,759","69,969",570,"14,921","9,492","5,294",135,"158,671","110,037","12,489","48,634","144,790","78,718","65,690",382,"131,817","69,089","62,434",294,"13,010","9,666","3,256",88,"159,550","110,506","12,608","49,044","150,678","82,335","67,895",448,"142,840","75,450","67,079",311,"14,288","8,323","5,828",137,"159,923","111,046","12,800","48,878","153,861","84,111","69,290",460,"145,574","78,763","66,462",349,"15,073","9,400","5,562",110
서울특별시,"23,185","18,102","5,083","25,471","16,247","9,222",1,"25,119","15,454","9,638",26,"2,819","2,001",818,0,"21,003","16,988","4,015","23,371","15,934","7,411",27,"24,713","16,683","7,975",55,"1,484","1,135",349,0,"20,540","15,827",571,"4,714","23,374","16,115","7,243",16,"23,266","15,389","7,873",4,"1,710","1,246",452,12,"25,848","17,708",888,"8,140","28,763","19,390","9,300",73,"28,302","17,092","11,133",76,"2,797","2,442",350,5,"25,603","19,114","1,642","6,489","27,033","17,643","9,203",187,"26,304","15,365","10,792",147,"3,144","2,578",526,40,"26,401","19,672","1,764","6,730","27,459","18,061","9,186",212,"26,452","15,381","10,882",189,"3,406","2,682",692,32,"27,546","21,811","1,756","5,735","31,045","14,538","16,419",88,"29,926","12,251","17,591",84,"3,093","2,519",570,4,"29,586","21,328","2,229","8,258","30,389","18,055","12,304",30,"29,049","17,689","11,336",24,"2,783","1,198","1,566",19,"26,164","18,665","1,871","7,500","27,557","15,588","11,959",11,"25,313","14,323","10,980",11,"2,261","1,282",979,0,"26,422","18,394","2,151","8,028","27,958","15,357","12,410",191,"27,103","14,713","12,273",117,"2,035","1,105",855,74,"31,955","24,727","2,747","7,229","30,284","20,205","9,893",186,"29,686","20,250","9,283",153,"1,899","1,186",679,33
부산광역시,"2,981","2,035",946,"2,804","1,694","1,106",4,"2,812","1,397","1,413",2,568,452,114,2,"5,180","4,686",493,"5,182","3,798","1,384",0,"5,149","3,196","1,944",9,908,749,159,0,"4,780","3,612",529,"1,167","5,323","2,305","2,984",34,"5,080","1,886","3,152",42,795,543,233,19,"3,834","3,123","1,206",711,"4,402","2,225","2,177",0,"3,865","1,943","1,911",12,724,367,357,0,"2,981","1,968",143,"1,013","3,966","1,076","2,834",56,"3,899",968,"2,881",49,561,331,224,6,"2,699","1,714",5,985,"3,970","1,239","2,717",14,"3,854","1,139","2,693",22,168,109,52,7,"2,812","1,567",68,"1,245","2,442","1,137","1,304",0,"2,057",707,"1,350",0,560,434,126,0,"4,689","2,885",314,"1,805","3,649","1,821","1,828",0,"3,547","1,642","1,905",0,318,228,89,0,"4,737","2,887",160,"1,851","4,833","2,644","2,164",25,"4,314","2,370","1,927",17,519,274,237,9,"3,804","2,888",381,916,"2,554","1,055","1,499",0,"2,471",927,"1,544",0,156,130,26,0,"1,699","1,104",111,595,"1,560",709,851,0,"1,286",597,689,0,299,133,166,0
대구광역시,"4,515","2,805","1,710","4,061","1,780","2,281",0,"3,718","1,560","2,158",0,627,290,338,0,"5,437","2,848","2,589","5,437","2,605","2,783",49,"5,008","2,034","2,925",49,895,678,217,0,"6,645","2,062",38,"4,583","6,808",887,"5,921",0,"6,476",558,"5,910",8,816,352,464,0,"6,342","3,275",532,"3,067","6,522","2,214","4,281",27,"6,027","1,943","4,058",27,687,344,342,0,"4,924","2,719",212,"2,205","6,721","1,774","4,920",26,"6,502","1,597","4,872",32,571,316,255,0,"4,903","2,811",150,"2,093","6,661","1,675","4,968",18,"6,378","1,405","4,955",18,301,270,31,0,"2,690",793,154,"1,897","1,966",542,"1,416",8,"1,764",483,"1,277",4,228,73,152,4,904,393,28,511,"1,110",345,765,0,"1,023",292,731,0,115,77,38,0,"5,439","3,773",508,"1,666","5,404","2,572","2,830",3,"4,726","1,984","2,739",3,679,588,91,0,"7,485","5,197",781,"2,288","6,050","2,970","3,080",0,"5,825","2,720","3,105",0,477,297,180,0,"5,706","4,084",526,"1,621","4,870","2,719","2,150",0,"4,407","2,340","2,067",0,620,436,184,0
인천광역시,"5,845","3,141","2,704","6,391","2,923","3,454",15,"6,025","2,524","3,486",15,548,424,124,0,"7,823","4,335","3,488","8,106","3,539","4,512",55,"7,507","3,015","4,421",71,943,567,376,0,"7,814","3,933",179,"3,882","8,049","2,869","5,166",15,"7,667","2,245","5,407",15,"1,015",718,296,0,"9,224","5,092",519,"4,132","8,983","3,295","5,688",0,"8,686","3,008","5,678",0,605,375,230,0,"7,772","5,187",305,"2,584","7,283","2,848","4,434",1,"6,979","2,618","4,357",4,559,337,222,0,"7,952","5,358",448,"2,593","7,743","3,228","4,515",0,"7,669","3,074","4,595",0,208,155,53,0,"8,510","6,944","1,153","1,566","10,529","5,699","4,694",136,"10,052","5,312","4,643",97,789,537,213,39,"6,742","3,931",597,"2,811","5,425","2,755","2,587",84,"5,450","2,475","2,888",87,512,330,151,31,"10,737","7,212",970,"3,525","9,888","5,274","4,560",53,"9,161","4,828","4,309",24,727,447,251,29,"10,360","7,192",819,"3,168","9,784","5,925","3,825",33,"9,452","5,297","4,130",25,784,649,126,8,"5,723","3,672",448,"2,050","5,186","2,870","2,310",7,"5,060","2,643","2,417",0,441,327,107,7
광주광역시,"2,306","1,362",944,"1,927",639,"1,288",0,"1,996",572,"1,369",55,87,72,14,0,"2,601","1,306","1,294","2,384",611,"1,756",16,"2,379",496,"1,809",74,163,120,43,0,"2,337","1,489",11,848,"2,368",797,"1,571",0,"2,352",705,"1,617",30,288,181,107,0,"1,661","1,365",53,295,"1,245",497,695,53,"1,184",443,698,43,189,100,79,10,"1,569","1,385",82,184,"1,321",710,607,4,"1,285",761,523,1,162,37,122,3,"1,171","1,138",49,32,"1,221",713,508,0,"1,040",697,343,0,181,16,165,0,"1,392",974,121,417,"1,193",694,499,0,"1,191",661,530,0,40,37,4,0,712,527,107,185,765,559,206,0,738,514,224,0,80,57,23,0,"1,436","1,231",301,205,"1,088",433,631,24,"1,023",392,626,6,65,41,5,18,"1,688","1,113",130,575,"1,361",931,430,0,"1,256",849,407,0,138,89,49,0,"2,110","1,899",263,211,"2,058","1,678",380,0,"1,995","1,627",368,0,109,84,25,0
대전광역시(세종시),"2,963","1,943","1,020","3,320","2,102","1,168",51,"3,549","1,936","1,563",51,283,242,41,0,"2,911","1,855","1,056","3,383","1,742","1,604",37,"3,377","1,548","1,788",41,292,250,42,0,"3,271","2,292",65,978,"3,606","1,695","1,863",47,"3,554","1,240","2,266",48,530,491,37,1,"2,970","2,012",158,958,"2,815","1,277","1,521",17,"2,726","1,003","1,707",16,317,283,33,1,"3,872","2,261",168,"1,611","3,580","1,839","1,736",5,"3,498","1,511","1,981",5,392,348,44,0,"4,086","2,421",212,"1,664","3,346","1,723","1,608",14,"3,194","1,576","1,618",0,165,148,3,14,"2,534","1,502",181,"1,032","2,136","1,105","1,015",16,"1,973",987,971,16,246,153,93,0,"2,746","1,618",159,"1,128","2,662","1,324","1,339",0,"2,438","1,195","1,242",0,329,193,136,0,"4,033","2,071",392,"1,962","3,413","1,840","1,571",2,"2,784","1,347","1,435",2,629,493,135,0,"2,810","2,119",259,691,"2,795","1,982",813,0,"2,599","1,809",790,0,292,186,106,0,"3,728","2,338",346,"1,389","3,454","1,244","2,202",8,"3,211","1,160","2,047",4,369,163,202,4
울산광역시,"6,189","2,314","3,875","6,709","2,216","4,447",46,"6,220","1,959","4,251",10,761,264,450,46,"6,279","2,852","3,428","6,563","1,993","4,512",58,"6,119","1,865","4,226",27,617,193,382,42,"6,469","3,795",136,"2,674","6,512","2,744","3,758",10,"6,336","2,408","3,918",10,504,365,139,0,"6,921","4,037",541,"2,884","5,736","2,356","3,354",26,"5,698","2,006","3,663",29,435,381,54,0,"5,986","4,486",592,"1,500","5,675","3,443","2,219",13,"5,348","3,185","2,148",16,401,284,109,7,"6,304","4,637",536,"1,667","5,811","3,633","2,153",25,"5,653","3,543","2,099",11,217,90,113,14,"9,063","6,703",436,"2,360","7,562","4,166","3,345",51,"7,385","4,142","3,243",0,491,223,218,51,"7,593","5,622",711,"1,971","6,718","3,924","2,794",0,"6,472","3,610","2,862",0,602,373,229,0,"7,513","5,619",604,"1,894","6,287","3,434","2,852",1,"5,750","2,944","2,805",1,541,493,47,0,"13,282","7,933",759,"5,349","11,482","5,293","6,189",0,"11,207","4,937","6,270",0,678,434,244,0,"10,826","5,283",235,"5,543","8,287","1,661","6,415",212,"8,370","1,580","6,625",166,494,167,281,46
