지역,2014.1,2014.2,2015.1,2015.2,2015.3,2016.1,2016.2,2016.3,2017.1,2017.2,2017.3,2018.1,2018.2,2018.3,2019.1,2019.2,2019.3,2020.1,2020.2,2020.3,2021.1,2021.2,2021.3,2022.1,2022.2,2022.3
지역별(1),경력자,입사 경력자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자
계,86795,6198,97586,9707,50449,101827,9505,48477,102935,10021,48513,105452,11674,49930,108547,12017,48048,110037,12489,48634,110506,12608,49044,111046,12800,48878
서울특별시,15827,571,17708,888,8140,19114,1642,6489,19672,1764,6730,21811,1756,5735,21328,2229,8258,18665,1871,7500,18394,2151,8028,24727,2747,7229
부산광역시,3612,529,3123,1206,711,1968,143,1013,1714,5,985,1567,68,1245,2885,314,1805,2887,160,1851,2888,381,916,1104,111,595
대구광역시,2062,38,3275,532,3067,2719,212,2205,2811,150,2093,793,154,1897,393,28,511,3773,508,1666,5197,781,2288,4084,526,1621
인천광역시,3933,179,5092,519,4132,5187,305,2584,5358,448,2593,6944,1153,1566,3931,597,2811,7212,970,3525,7192,819,3168,3672,448,2050
광주광역시,1489,11,1365,53,295,1385,82,184,1138,49,32,974,121,417,527,107,185,1231,301,205,1113,130,575,1899,263,211
대전광역시(세종시),2292,65,2012,158,958,2261,168,1611,2421,212,1664,1502,181,1032,1618,159,1128,2071,392,1962,2119,259,691,2338,346,1389
울산광역시,3795,136,4037,541,2884,4486,592,1500,4637,536,1667,6703,436,2360,5622,711,1971,5619,604,1894,7933,759,5349,5283,235,5543
경기도,23760,2439,27488,2178,11606,25889,2176,14623,26647,2305,14836,34189,5641,18193,29316,3421,12535,27582,3310,11975,36596,4607,17057,24558,3443,10073
강원특별자치도,1015,15,830,22,261,947,160,197,965,324,159,1329,78,541,733,59,630,1389,109,501,1711,106,550,91,30,64
충청북도,3761,74,3978,309,1914,3309,308,2883,3575,453,2786,2426,381,3420,5837,536,2163,5929,861,3179,2820,366,795,4522,562,1960
충청남도,4156,14,4880,245,2308,6951,637,3118,7063,806,2938,5027,232,1070,5733,1051,4896,6022,626,3434,2119,232,680,7757,929,4166
전라북도,2967,220,2295,594,2097,2482,308,1040,2438,445,965,3173,366,2039,999,120,836,1858,224,1016,1373,164,566,184,47,109
전라남도,1287,42,2675,366,1863,2730,116,636,2422,108,734,3668,262,1427,847,121,428,1812,158,650,1114,160,714,980,48,509
경상북도,6349,257,5765,352,2853,6781,1005,4041,6612,873,4021,2550,503,3595,899,131,282,2400,415,715,2225,178,174,13203,903,6458
경상남도,10217,1608,12864,1719,7209,15316,1624,6305,15179,1535,6277,12611,319,5296,27749,2431,9543,21480,1947,8486,17511,1510,7401,16390,2145,6848
제주특별자치도,273,0,198,24,151,303,24,47,284,8,32,187,23,97,130,3,67,108,33,74,200,6,91,252,18,54
