"성별(1)","연령별(1)",2019,2019,2019,2019,2019
"성별(1)","연령별(1)",총계,진입자,유지자,이동자,미등록자
"총계","총계",24358,3912,16571,3876,3391
"총계","15-29세",3985,1342,1808,835,927
"총계","30-39세",5074,614,3686,774,563
"총계","40-49세",5798,592,4371,835,568
"총계","50-59세",5560,614,4110,836,658
"총계","60세 이상",3942,751,2596,596,674
"남자","총계",13968,1913,9770,2286,1722
"남자","15-29세",2048,732,902,414,479
"남자","30-39세",3034,304,2235,495,271
"남자","40-49세",3394,256,2638,499,267
"남자","50-59세",3206,280,2423,503,325
"남자","60세 이상",2286,340,1571,375,380
"여자","총계",10390,1999,6801,1590,1669
"여자","15-29세",1937,610,906,421,448
"여자","30-39세",2040,310,1451,279,292
"여자","40-49세",2404,335,1733,336,301
"여자","50-59세",2353,334,1686,333,333
"여자","60세 이상",1656,410,1025,221,295
